,Portfolio
Symbol,Portfolio
Total Return (%),-0.44
CAGR (%),-80.55
Expected Return (%),-0.002
Volatility (%),2.26
Sharpe Ratio,-0.239
Sortino Ratio,-0.333
Calmar Ratio,-40.16
Max Drawdown (%),2.01
Ulcer Index,0.0075
Recovery Factor,0.21
VaR (95%) (%),-0.2
CVaR (95%) (%),-0.27
Win Rate (%),49.13
Profit Factor,0.968
Gain to Pain Ratio,-1.0
Tail Ratio,0.904
Kelly Criterion,-0.016
Best Day (%),0.34
Worst Day (%),-0.36
Skewness,-0.06
Kurtosis,0.498
Final Equity,9955.58
