,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,-14.24,-48.69,59.71,-0.802,-1.094,-1.895,25.69,-6.69,-8.66,50.85,0.819,0.819,-0.092,10.6,-11.56,-0.075,1.644
ETHUSDT,ETHUSDT,-31.32,-80.45,86.92,-1.388,-1.693,-1.752,45.91,-11.32,-16.29,44.07,0.986,0.986,-0.127,8.49,-21.98,-1.249,3.656
SOLUSDT,SOLUSDT,-84.88,-99.97,183.36,-3.292,-3.69,-1.175,85.07,-27.55,-35.45,45.76,0.617,0.617,-0.421,24.01,-36.48,-1.111,2.458
