,Portfolio
Symbol,Portfolio
Total Return (%),11.85
CAGR (%),617.7
Volatility (%),59.42
Sharpe Ratio,0.511
Sortino Ratio,9.862
Calmar Ratio,10.112
Max Drawdown (%),61.09
VaR (95%) (%),-34.63
CVaR (95%) (%),-38.86
Win Rate (%),50.0
Win/Loss Ratio,2.005
Payoff Ratio,2.005
Kelly Criterion,0.251
Best Day (%),138.93
Worst Day (%),-38.86
Skewness,2.081
Kurtosis,4.805
Alpha (%),79.02
Beta,-2.186
R-Squared,0.001
