,Portfolio
Symbol,Portfolio
Total Return (%),13.21
CAGR (%),194.02
Volatility (%),578.85
Sharpe Ratio,2.096
Sortino Ratio,5.381
Calmar Ratio,2.779
Max Drawdown (%),69.82
VaR (95%) (%),-55.16
CVaR (95%) (%),-55.16
Win Rate (%),53.85
Win/Loss Ratio,1.393
Payoff Ratio,1.393
Kelly Criterion,0.207
Best Month (%),161.15
Worst Month (%),-45.06
Skewness,2.892
Kurtosis,11.645
