,Portfolio
Symbol,Portfolio
Total Return (%),-20.8
CAGR (%),-94.7
Expected Return (%),-0.774
Volatility (%),32.15
Sharpe Ratio,-8.635
Sortino Ratio,-9.562
Calmar Ratio,-4.595
Max Drawdown (%),20.61
Ulcer Index,0.1115
Recovery Factor,1.11
VaR (95%) (%),-3.53
CVaR (95%) (%),-4.38
Win Rate (%),20.0
Profit Factor,0.27
Gain to Pain Ratio,-0.73
Tail Ratio,0.343
Kelly Criterion,-0.542
Best Day (%),5.22
Worst Day (%),-4.38
Skewness,1.079
Kurtosis,5.041
Final Equity,7920.21
Alpha (%),-19.19
Beta,-0.334
Information Ratio,-0.461
R-Squared,0.073
Correlation,-0.271
