,Portfolio
Symbol,Portfolio
Total Return (%),54.93
CAGR (%),9.044707367818085e+25
Volatility (%),639.49
Sharpe Ratio,7.802
Sortino Ratio,80.591
Calmar Ratio,1.3390073492355581e+25
Max Drawdown (%),6.75
VaR (95%) (%),-46.46
CVaR (95%) (%),-46.46
Win Rate (%),50.0
Win/Loss Ratio,9.793
Payoff Ratio,9.793
Kelly Criterion,0.449
Best Month (%),66.15
Worst Month (%),-6.75
Skewness,1.677
Kurtosis,0.0
