,group
Start,2025-07-01 00:00:00+00:00
End,2025-07-10 00:00:00+00:00
Period,9 days 00:01:00
Start Value,10000.0
End Value,9810.685186698085
Total Return [%],-1.8931481330191422
Benchmark Return [%],5.208807118509462
Max Gross Exposure [%],7.037702280912176
Total Fees Paid,166.4152100966709
Max Drawdown [%],2.3762019068757523
Max Drawdown Duration,4 days 23:07:00
Total Trades,29
Total Closed Trades,24
Total Open Trades,5
Open Trade PnL,-1.3792529555464177
Win Rate [%],29.166666666666668
Best Trade [%],3.675954792800328
Worst Trade [%],-3.313755170289522
Avg Winning Trade [%],3.3453266564986386
Avg Losing Trade [%],-2.9486717082078533
Avg Winning Trade Duration,1 days 10:16:34.285714285
Avg Losing Trade Duration,1 days 23:36:35.294117647
Profit Factor,0.509200941530021
Expectancy,-7.830648347765349
Sharpe Ratio,-7.416481775366315
Calmar Ratio,-22.69722736749958
Omega Ratio,0.9670103269305057
Sortino Ratio,-10.317728173872553
