,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Month (%),Worst Month (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,19.47,175422.45,11.21,0.252,0.468,17106.801,10.25,-1.15,-9.85,63.64,1.008,1.008,0.276,16.16,-10.25,10.212,351.095
ETHUSDT,ETHUSDT,-10.63,-99.11,20.44,0.031,0.048,-3.238,30.61,-2.11,-10.14,46.15,1.212,1.212,0.017,19.23,-12.14,3.46,119.019
XRPUSDT,XRPUSDT,-2.69,-68.17,10.79,0.022,0.031,-3.77,18.08,-1.12,-6.26,60.98,0.656,0.656,0.015,9.2,-6.72,0.084,90.814
BNBUSDT,BNBUSDT,-0.37,-14.24,7.41,0.031,0.042,-1.234,11.54,-0.77,-6.29,66.67,0.524,0.524,0.031,5.79,-6.45,-2.226,152.932
SOLUSDT,SOLUSDT,-0.26,-10.36,9.16,0.042,0.063,-0.901,11.5,-0.95,-6.12,38.71,1.682,1.682,0.023,9.53,-6.32,2.672,153.646
