,Portfolio
Symbol,Portfolio
Total Return (%),33.8
CAGR (%),20499206.5
Volatility (%),608.76
Sharpe Ratio,3.712
Sortino Ratio,11.101
Calmar Ratio,490894.393
Max Drawdown (%),41.76
VaR (95%) (%),-54.11
CVaR (95%) (%),-54.11
Win Rate (%),50.0
Win/Loss Ratio,2.265
Payoff Ratio,2.265
Kelly Criterion,0.279
Best Month (%),89.24
Worst Month (%),-27.67
Skewness,1.832
Kurtosis,4.094
