timestamp,symbol,type,side,contracts,price,notional,leverage,margin,fee,rate,payment,pnl
2025-01-01T00:05:00+00:00,ETHUSDT,open,buy,2.9924709431071426,3341.72,10000.0,10.0,1000.0,4.0,,,
2025-01-01T00:25:00+00:00,SOLUSDT,open,sell,31.47788678453386,190.61,6000.0,10.0,600.0,2.4,,,
2025-01-01T01:05:00+00:00,BTCUSDT,open,sell,0.10633682401680972,94040.8,10000.0,10.0,1000.0,4.0,,,
2025-01-01T08:00:00+00:00,BTCUSDT,funding,,,,9962.388665345254,,,,0.0001,-0.9962388665345254,
2025-01-01T08:00:00+00:00,ETHUSDT,funding,,,,10014.992279424967,,,,0.0001,1.0014992279424968,
2025-01-01T08:00:00+00:00,SOLUSDT,funding,,,,5994.648759246628,,,,-2.663e-05,0.1596374964587377,
2025-01-01T20:45:00+00:00,SOLUSDT,close,buy,31.47788678453386,194.42,6119.930748649073,10.0,600.0,2.4479722994596296,,,-119.9307486490732
2025-01-01T21:00:00+00:00,SOLUSDT,open,sell,30.851501439736737,194.48,6000.0,10.0,600.0,2.4,,,
2025-01-02T00:00:00+00:00,BTCUSDT,funding,,,,10044.331821932607,,,,0.0001,-1.0044331821932606,
2025-01-02T00:00:00+00:00,ETHUSDT,funding,,,,10036.86724201908,,,,0.0001,1.003686724201908,
2025-01-02T00:00:00+00:00,SOLUSDT,funding,,,,5982.414644179351,,,,0.0001,-0.5982414644179351,
2025-01-02T02:25:00+00:00,SOLUSDT,close,buy,30.851501439736737,198.6,6127.1081859317155,10.0,600.0,2.4508432743726862,,,-127.1081859317155
2025-01-02T02:25:00+00:00,SOLUSDT,open,buy,30.211480362537767,198.6,6000.0,10.0,600.0,2.4,,,
2025-01-02T08:10:00+00:00,BTCUSDT,close,buy,0.10633682401680972,95950.1,10203.028898095296,10.0,1000.0,4.081211559238119,,,-203.0288980952951
2025-01-02T08:20:00+00:00,BTCUSDT,open,sell,0.10450838732062441,95686.1,10000.0,10.0,1000.0,4.0,,,
2025-01-02T08:40:00+00:00,SOLUSDT,close,sell,30.211480362537767,206.96,6252.567975830816,10.0,600.0,2.5010271903323265,,,252.56797583081615
2025-01-02T09:00:00+00:00,SOLUSDT,open,sell,29.04303209255046,206.59,6000.0,10.0,600.0,2.4,,,
2025-01-02T12:10:00+00:00,ETHUSDT,close,sell,2.9924709431071426,3477.21,10405.449888081588,10.0,1000.0,4.162179955232635,,,405.44988808158746
