,Portfolio
Symbol,Portfolio
Total Return (%),0.24
CAGR (%),137.81
Expected Return (%),0.001
Volatility (%),0.63
Sharpe Ratio,0.476
Sortino Ratio,0.716
Calmar Ratio,384.38
Max Drawdown (%),0.36
Ulcer Index,0.0015
Recovery Factor,0.66
VaR (95%) (%),-0.05
CVaR (95%) (%),-0.08
Win Rate (%),48.94
Profit Factor,1.073
Gain to Pain Ratio,0.994
Tail Ratio,1.074
Kelly Criterion,0.033
Best Day (%),0.14
Worst Day (%),-0.11
Skewness,0.403
Kurtosis,2.829
Final Equity,10023.58
