metric,value
pnl,1024.0207898078716
cum_return_pct,10.240207898078712
sharpe,3.0058871575222215
volatility,0.40954632597126345
max_drawdown,0.10626894679576823
avg_drawdown,0.03974586125835728
turnover,0.16875488281846038
turnover_sum,15.862958984935275
winrate,0.15181518151815182
avg_win,0.008525948871231696
avg_loss,0.0064383622153013345
fees,68.53199898334564
ras_sharpe,0.0011242466133766485
ras_sharpe_lower,-0.2805328870592623
risk_diag_avg,{'symbols': 5.0, 'vol_qlike_avg': -7.288283165378272, 'cov_turnover_fro': 0.0014969178146849744, 'last_mahalanobis_d2': 3.2845146591987513, 'malv_mean': -2.5331960893512067, 'vol_mse_avg': 6.709581619364052e-07}
cov_loss_avg,{'cov_port_mse': 1.891773741631154e-08, 'cov_port_qlike': -6.607322321405653}
benchmark_sharpe,2.319476067089157
ras_ic_lower,nan
benchmark_pnl,903.9330263386892
benchmark_cum_return_pct,9.039330263386901
benchmark_volatility,0.49072055757299293
benchmark_max_drawdown,0.09871560494967711
benchmark_avg_drawdown,0.03305075768398224
benchmark_avg_win,0.011272995899864252
benchmark_avg_loss,0.010859988717172812
