,Portfolio
Symbol,Portfolio
Total Return (%),-100.0
CAGR (%),-100.0
Volatility (%),1333.59
Sharpe Ratio,1.576
Sortino Ratio,3.65
Calmar Ratio,-1.0
Max Drawdown (%),100.0
VaR (95%) (%),-99.0
CVaR (95%) (%),-99.0
Win Rate (%),42.37
Win/Loss Ratio,1.93
Payoff Ratio,1.93
Kelly Criterion,0.125
Best Day (%),299.67
Worst Day (%),-99.0
Skewness,2.066
Kurtosis,5.116
Alpha (%),459.66
Beta,-3.172
R-Squared,0.007
