,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,3.3,172.01,1.98,0.644,8.492,72.261,2.38,-1.67,-2.38,66.67,1.208,1.208,0.391,4.08,-2.38,0.737,1.826
ETHUSDT,ETHUSDT,-0.78,-40.66,5.15,0.003,0.021,-3.445,11.8,-7.46,-9.62,60.0,0.669,0.669,0.002,6.2,-9.62,-0.975,1.566
XRPUSDT,XRPUSDT,-9.1,-100,3.96,-0.857,-5.445,-10.553,9.48,-7.5,-9.33,50.0,0.32,0.32,-1.061,2.47,-9.33,-1.698,3.038
BNBUSDT,BNBUSDT,-6.22,-100,0.87,-2.76,-11.874,-16.071,6.22,-1.84,-1.86,0.0,1.0,1.0,0.0,0.0,-1.86,0.191,-2.539
SOLUSDT,SOLUSDT,-3.59,-100,1.84,-0.728,-4.91,-19.702,5.08,-3.26,-4.04,40.0,0.625,0.625,-0.561,1.56,-4.04,-1.221,1.902
