,Portfolio
Symbol,Portfolio
Total Return (%),8.16
CAGR (%),2595.89
Volatility (%),52.32
Sharpe Ratio,0.248
Sortino Ratio,0.452
Calmar Ratio,52.283
Max Drawdown (%),49.65
VaR (95%) (%),-5.37
CVaR (95%) (%),-12.54
Win Rate (%),49.47
Win/Loss Ratio,1.241
Payoff Ratio,1.241
Kelly Criterion,0.088
Best Month (%),85.65
Worst Month (%),-26.54
Skewness,9.506
Kurtosis,246.742
