,Portfolio
Symbol,Portfolio
Total Return (%),0.38
CAGR (%),25.94
Expected Return (%),0.054
Volatility (%),3.0
Final Equity,10037.95
Sharpe Ratio,0.584
Max Drawdown (%),4.48
Ulcer Index,0.0246
Sortino Ratio,1.252
Calmar Ratio,5.794
Recovery Factor,0.14
VaR (95%) (%),0.0
CVaR (95%) (%),0.0
Win Rate (%),28.57
Profit Factor,1.102
Gain to Pain Ratio,0.102
Tail Ratio,1.681
Kelly Criterion,0.027
Best Day (%),6.33
Worst Day (%),-3.17
Skewness,1.736
Kurtosis,4.006
Alpha (%),3.09
Beta,-1.767
Information Ratio,-0.027
R-Squared,0.487
Correlation,-0.698
