,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Month (%),Worst Month (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,11.26,68941604.77,103.2,9.165,0.0,0.0,0.0,-6.94,-6.94,100.0,1.0,1.0,0.0,11.26,0.0,1.732,0.0
ETHUSDT,ETHUSDT,10.31,23394866.61,108.87,8.038,100.003,24502828.002,0.95,-7.81,-7.81,50.0,11.911,11.911,0.458,11.37,-0.95,1.694,0.0
XRPUSDT,XRPUSDT,6.67,343204.37,45.63,12.172,0.0,0.0,0.0,-2.52,-2.52,100.0,1.0,1.0,0.0,5.45,0.0,1.422,0.0
BNBUSDT,BNBUSDT,7.65,1079020.48,34.41,18.327,0.0,0.0,0.0,-1.06,-1.06,100.0,1.0,1.0,0.0,3.79,0.0,-1.729,0.0
SOLUSDT,SOLUSDT,5.95,144545.91,38.7,12.784,0.0,0.0,0.0,-2.05,-2.05,100.0,1.0,1.0,0.0,4.69,0.0,1.274,0.0
