,Portfolio
Symbol,Portfolio
Total Return (%),0.49
CAGR (%),34.38
Expected Return (%),0.069
Volatility (%),1.32
Final Equity,10048.67
Sharpe Ratio,1.114
Max Drawdown (%),2.47
Ulcer Index,0.0206
Sortino Ratio,1.569
Calmar Ratio,13.941
Recovery Factor,0.22
VaR (95%) (%),0.0
CVaR (95%) (%),0.0
Win Rate (%),71.43
Profit Factor,1.2
Gain to Pain Ratio,0.2
Tail Ratio,0.86
Kelly Criterion,0.119
Best Day (%),1.68
Worst Day (%),-2.47
Skewness,-1.106
Kurtosis,2.339
Alpha (%),-0.62
Beta,0.898
Information Ratio,-0.139
R-Squared,0.662
Correlation,0.814
