,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Month (%),Worst Month (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,14.44,28801.32,79.84,6.465,32.557,10900.556,2.64,-6.22,-6.22,66.67,3.213,3.213,0.563,12.36,-2.64,1.791,3.291
ETHUSDT,ETHUSDT,-0.52,-19.64,156.86,0.567,0.839,-0.848,23.16,-15.9,-15.9,60.0,0.733,0.733,0.055,13.31,-14.33,-0.384,-0.898
XRPUSDT,XRPUSDT,-3.94,-81.53,81.97,-1.399,-1.79,-7.684,10.61,-8.95,-9.77,66.67,0.387,0.387,-0.195,6.15,-9.77,-0.913,1.005
BNBUSDT,BNBUSDT,5.06,693.52,30.17,6.034,19.439,444.436,1.56,-2.4,-2.4,66.67,2.12,2.12,0.509,4.01,-1.56,0.983,0.258
SOLUSDT,SOLUSDT,7.8,2247.88,62.14,4.635,11.885,502.603,4.47,-5.3,-5.3,60.0,1.854,1.854,0.384,8.74,-4.01,1.161,2.659
