,Portfolio
Symbol,Portfolio
Total Return (%),88.97
CAGR (%),0.0
Volatility (%),0.0
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max Drawdown (%),0.0
Final Equity,18897.27
