,Portfolio
Symbol,Portfolio
Total Return (%),5.45
CAGR (%),0.0
Volatility (%),4.38
Sharpe Ratio,1.086
Sortino Ratio,1.668
Calmar Ratio,0.0
Max Drawdown (%),3.02
VaR (95%) (%),-0.41
CVaR (95%) (%),-0.59
Win Rate (%),52.26
Win/Loss Ratio,1.108
Payoff Ratio,1.108
Kelly Criterion,0.092
Best Day (%),1.2
Worst Day (%),-1.18
Skewness,0.258
Kurtosis,3.136
