,Portfolio
Symbol,Portfolio
Total Return (%),-16.81
CAGR (%),-100
Volatility (%),7.37
Sharpe Ratio,-0.844
Sortino Ratio,-5.76
Calmar Ratio,-4.519
Max Drawdown (%),22.13
VaR (95%) (%),-12.24
CVaR (95%) (%),-12.97
Win Rate (%),42.86
Win/Loss Ratio,0.567
Payoff Ratio,0.567
Kelly Criterion,-0.58
Best Day (%),7.47
Worst Day (%),-12.97
Skewness,-0.31
Kurtosis,-0.984
Alpha (%),-20.89
Beta,-6.131
R-Squared,0.619
