,Portfolio
Symbol,Portfolio
Total Return (%),-30.83
CAGR (%),-100
Volatility (%),29.07
Sharpe Ratio,-0.14
Sortino Ratio,-1.321
Calmar Ratio,-1.637
Max Drawdown (%),61.09
VaR (95%) (%),-34.63
CVaR (95%) (%),-38.86
Win Rate (%),50.0
Win/Loss Ratio,0.865
Payoff Ratio,0.865
Kelly Criterion,-0.078
Best Day (%),47.77
Worst Day (%),-38.86
Skewness,0.594
Kurtosis,0.1
Alpha (%),-17.06
Beta,-10.017
R-Squared,0.108
