,Symbol,Total Return (%),CAGR (%),Expected Return (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Ulcer Index,Recovery Factor,VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Profit Factor,Gain to Pain Ratio,Tail Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis,Final Equity
BTCUSDT,BTCUSDT,-0.35,-72.42,-0.001,0.4,-1.114,-1.114,-204.709,0.35,0.0002,0.99,-0.04,-0.35,50.0,0.012,-1.0,,-41.752,0.0,-0.35,-16.937,286.919,9965.04
ETHUSDT,ETHUSDT,-0.48,-82.75,-0.002,0.53,-1.137,-1.137,-173.613,0.48,0.0003,1.0,-0.05,-0.47,33.33,0.003,-1.0,,-116.137,0.0,-0.47,-16.938,286.922,9952.34
XRPUSDT,XRPUSDT,-0.66,-91.16,-0.002,0.74,-1.124,-1.124,-138.25,0.66,0.0004,1.0,-0.07,-0.66,50.0,0.003,-1.0,,-167.994,0.0,-0.66,-16.941,286.995,9934.25
BNBUSDT,BNBUSDT,1.62,36305.14,0.006,1.84,1.12,200.712,14360512.414,0.0,0.0,639.4,-0.15,-0.15,33.33,144.666,185.302,,0.331,1.63,-0.01,16.94,286.982,10161.63
SOLUSDT,SOLUSDT,-0.58,-88.09,-0.002,0.65,-1.124,-1.124,-152.224,0.58,0.0003,1.0,-0.06,-0.58,50.0,0.003,-1.0,,-153.104,0.0,-0.58,-16.941,286.994,9942.32
