,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,-13.81,-100,4.28,-1.246,-7.198,-7.241,13.81,-8.82,-11.46,0.0,1.0,1.0,0.0,0.0,-11.46,-2.386,5.777
ETHUSDT,ETHUSDT,-99.49,-100,82.07,-0.269,-2.816,-1.002,99.81,-85.32,-99.0,16.67,3.661,3.661,-0.061,159.51,-99.0,1.609,3.539
XRPUSDT,XRPUSDT,-78.66,-100,20.31,-2.245,-10.727,-1.271,78.66,-48.32,-52.95,0.0,1.0,1.0,0.0,0.0,-52.95,-1.167,0.068
BNBUSDT,BNBUSDT,-46.29,-100,10.49,-1.997,-10.03,-2.16,46.29,-24.12,-29.89,0.0,1.0,1.0,0.0,0.0,-29.89,-1.889,3.941
SOLUSDT,SOLUSDT,-52.81,-100,12.2,-2.044,-10.171,-1.894,52.81,-27.0,-28.95,0.0,1.0,1.0,0.0,0.0,-28.95,-0.862,-1.141
