timestamp,open,high,low,close,volume
2025-07-12T22:45:00.000000Z,684.96,684.96,684.74,684.78,95.96
2025-07-12T22:46:00.000000Z,684.79,684.79,684.66,684.75,62.58
2025-07-12T22:47:00.000000Z,684.75,684.75,684.74,684.74,16.09
2025-07-12T22:48:00.000000Z,684.74,684.74,684.32,684.36,92.04
2025-07-12T22:49:00.000000Z,684.36,684.38,684.2,684.35,243.79
2025-07-12T22:50:00.000000Z,684.35,684.43,684.35,684.42,32.79
2025-07-12T22:51:00.000000Z,684.42,684.56,684.42,684.56,23.54
2025-07-12T22:52:00.000000Z,684.55,684.7,684.55,684.7,37.66
2025-07-12T22:53:00.000000Z,684.7,684.83,684.69,684.82,17.47
2025-07-12T22:54:00.000000Z,684.83,684.95,684.76,684.76,74.19
2025-07-12T22:55:00.000000Z,684.77,684.84,684.77,684.84,52.83
2025-07-12T22:56:00.000000Z,684.84,684.97,684.83,684.9,43.36
2025-07-12T22:57:00.000000Z,684.91,685.09,684.91,685.09,94.27
2025-07-12T22:58:00.000000Z,685.09,685.11,685.09,685.11,33.61
2025-07-12T22:59:00.000000Z,685.11,685.17,685.1,685.16,59.38
2025-07-12T23:00:00.000000Z,685.16,685.5,685.16,685.5,172.83
2025-07-12T23:01:00.000000Z,685.5,685.5,685.36,685.37,84.07
2025-07-12T23:02:00.000000Z,685.37,685.37,685.2,685.21,130.68
2025-07-12T23:03:00.000000Z,685.21,685.21,685.07,685.09,203.91
2025-07-12T23:04:00.000000Z,685.1,685.1,684.7,684.71,141.74
2025-07-12T23:05:00.000000Z,684.71,685.05,684.71,685.0,129.54
2025-07-12T23:06:00.000000Z,684.99,685.13,684.94,685.13,54.51
2025-07-12T23:07:00.000000Z,685.12,685.13,684.86,684.87,101.33
2025-07-12T23:08:00.000000Z,684.87,685.04,684.86,684.86,73.99
2025-07-12T23:09:00.000000Z,684.86,684.86,684.54,684.82,124.86
2025-07-12T23:10:00.000000Z,684.82,684.84,684.81,684.84,14.33
2025-07-12T23:11:00.000000Z,684.84,684.84,684.83,684.83,29.88
2025-07-12T23:12:00.000000Z,684.84,684.84,684.7,684.75,58.92
2025-07-12T23:13:00.000000Z,684.75,684.85,684.74,684.85,58.56
2025-07-12T23:14:00.000000Z,684.84,684.94,684.75,684.93,94.58
2025-07-12T23:15:00.000000Z,684.93,685.15,684.93,685.15,67.9
2025-07-12T23:16:00.000000Z,685.15,685.24,685.14,685.23,44.79
2025-07-12T23:17:00.000000Z,685.24,685.6,685.23,685.46,230.22
2025-07-12T23:18:00.000000Z,685.46,685.46,685.3,685.37,64.76
2025-07-12T23:19:00.000000Z,685.37,685.49,685.36,685.36,27.23
2025-07-12T23:20:00.000000Z,685.37,685.52,685.36,685.51,31.64
2025-07-12T23:21:00.000000Z,685.51,685.61,685.51,685.6,39.83
2025-07-12T23:22:00.000000Z,685.6,685.68,685.6,685.66,81.91
2025-07-12T23:23:00.000000Z,685.65,685.66,685.58,685.58,75.41
2025-07-12T23:24:00.000000Z,685.58,685.59,685.58,685.58,54.39
2025-07-12T23:25:00.000000Z,685.58,685.58,685.13,685.26,274.34
2025-07-12T23:26:00.000000Z,685.26,685.6,685.26,685.49,93.44
