timestamp,rate
2025-04-13 16:00:00+00:00,5.244e-05
2025-04-14 00:00:00+00:00,5.464e-05
2025-04-14 08:00:00+00:00,-5.254e-05
2025-04-14 16:00:00+00:00,-9.88e-06
2025-04-15 00:00:00+00:00,-0.00014075
2025-04-15 08:00:00+00:00,5.348e-05
2025-04-15 16:00:00.001000+00:00,-0.00010771
2025-04-16 00:00:00+00:00,-0.0001416
2025-04-16 08:00:00+00:00,-9.836e-05
2025-04-16 16:00:00+00:00,-9.207e-05
2025-04-17 00:00:00.001000+00:00,-2.048e-05
2025-04-17 08:00:00+00:00,6.643e-05
2025-04-17 16:00:00.001000+00:00,5.965e-05
2025-04-18 00:00:00+00:00,3.812e-05
2025-04-18 08:00:00+00:00,-9.568e-05
2025-04-18 16:00:00+00:00,-0.00012768
2025-04-19 00:00:00+00:00,0.0001
2025-04-19 08:00:00+00:00,0.0001
2025-04-19 16:00:00+00:00,-1.977e-05
2025-04-20 00:00:00+00:00,8.688e-05
2025-04-20 08:00:00+00:00,0.0001
2025-04-20 16:00:00+00:00,-0.0001989
2025-04-21 00:00:00+00:00,9.1e-06
2025-04-21 08:00:00.005000+00:00,0.0001
2025-04-21 16:00:00.003000+00:00,0.0001
2025-04-22 00:00:00.008000+00:00,-0.0001653
2025-04-22 08:00:00+00:00,-3.138e-05
2025-04-22 16:00:00+00:00,0.0001
2025-04-23 00:00:00+00:00,0.0001
2025-04-23 08:00:00.002000+00:00,0.0001
2025-04-23 16:00:00+00:00,0.0001
2025-04-24 00:00:00+00:00,0.0001
2025-04-24 08:00:00.001000+00:00,0.0001
2025-04-24 16:00:00.001000+00:00,0.0001
2025-04-25 00:00:00.007000+00:00,0.0001
2025-04-25 08:00:00.002000+00:00,-1.212e-05
2025-04-25 16:00:00.003000+00:00,-3.421e-05
2025-04-26 00:00:00.002000+00:00,6.683e-05
2025-04-26 08:00:00+00:00,0.0001
2025-04-26 16:00:00.002000+00:00,-4.972e-05
2025-04-27 00:00:00.001000+00:00,-3.958e-05
2025-04-27 08:00:00+00:00,9.559e-05
2025-04-27 16:00:00+00:00,1.865e-05
2025-04-28 00:00:00.001000+00:00,0.0001
2025-04-28 08:00:00.003000+00:00,0.0001
2025-04-28 16:00:00.005000+00:00,3.314e-05
2025-04-29 00:00:00+00:00,4.56e-06
2025-04-29 08:00:00+00:00,0.0001
2025-04-29 16:00:00.010000+00:00,0.0001
2025-04-30 00:00:00.001000+00:00,-9.175e-05
2025-04-30 08:00:00+00:00,-0.00010152
2025-04-30 16:00:00.003000+00:00,-0.0001335
2025-05-01 00:00:00+00:00,-1.999e-05
2025-05-01 08:00:00+00:00,-1.043e-05
2025-05-01 16:00:00.001000+00:00,0.0001
2025-05-02 00:00:00+00:00,0.0001
2025-05-02 08:00:00+00:00,5.141e-05
2025-05-02 16:00:00.003000+00:00,8.895e-05
2025-05-03 00:00:00+00:00,-0.00013479
2025-05-03 08:00:00+00:00,8.264e-05
2025-05-03 16:00:00+00:00,0.0001
2025-05-04 00:00:00.001000+00:00,-2.987e-05
2025-05-04 08:00:00.001000+00:00,-9.596e-05
2025-05-04 16:00:00.002000+00:00,-0.00023499
2025-05-05 00:00:00+00:00,-0.00012825
2025-05-05 08:00:00+00:00,-3.318e-05
2025-05-05 16:00:00.006000+00:00,-0.00020368
2025-05-06 00:00:00.002000+00:00,-8.021e-05
2025-05-06 08:00:00.005000+00:00,5.14e-06
2025-05-06 16:00:00+00:00,5.988e-05
2025-05-07 00:00:00.002000+00:00,8.584e-05
2025-05-07 08:00:00+00:00,9.589e-05
2025-05-07 16:00:00.006000+00:00,-1.492e-05
2025-05-08 00:00:00+00:00,-2.269e-05
2025-05-08 08:00:00.001000+00:00,0.0001
2025-05-08 16:00:00.002000+00:00,0.0001
2025-05-09 00:00:00.001000+00:00,0.0001
2025-05-09 08:00:00.006000+00:00,0.0001
2025-05-09 16:00:00+00:00,0.0001
2025-05-10 00:00:00.001000+00:00,0.0001
2025-05-10 08:00:00+00:00,0.0001
2025-05-10 16:00:00.001000+00:00,0.0001
2025-05-11 00:00:00+00:00,0.0001
2025-05-11 08:00:00.001000+00:00,0.0001
2025-05-11 16:00:00.001000+00:00,4.437e-05
2025-05-12 00:00:00.004000+00:00,0.0001
2025-05-12 08:00:00+00:00,0.0001
2025-05-12 16:00:00+00:00,0.0001
2025-05-13 00:00:00+00:00,7.42e-05
2025-05-13 08:00:00.008000+00:00,9.3e-07
2025-05-13 16:00:00.001000+00:00,9.823e-05
2025-05-14 00:00:00.007000+00:00,0.0001
2025-05-14 08:00:00+00:00,0.0001
2025-05-14 16:00:00.002000+00:00,0.0001
2025-05-15 00:00:00+00:00,3.983e-05
2025-05-15 08:00:00.003000+00:00,3.534e-05
2025-05-15 16:00:00+00:00,-2.042e-05
2025-05-16 00:00:00.001000+00:00,7.633e-05
2025-05-16 08:00:00+00:00,0.0001
2025-05-16 16:00:00+00:00,5.676e-05
2025-05-17 00:00:00+00:00,-6.48e-06
2025-05-17 08:00:00.001000+00:00,0.0001
2025-05-17 16:00:00.004000+00:00,0.0001
2025-05-18 00:00:00+00:00,6.15e-06
2025-05-18 08:00:00+00:00,8.696e-05
2025-05-18 16:00:00+00:00,7.151e-05
2025-05-19 00:00:00+00:00,-0.00010663
2025-05-19 08:00:00.006000+00:00,-0.00019349
2025-05-19 16:00:00.010000+00:00,1.584e-05
2025-05-20 00:00:00+00:00,0.0001
2025-05-20 08:00:00.002000+00:00,0.0001
2025-05-20 16:00:00+00:00,-5.7e-05
2025-05-21 00:00:00+00:00,0.0001
2025-05-21 08:00:00.001000+00:00,0.0001
2025-05-21 16:00:00.004000+00:00,8.611e-05
2025-05-22 00:00:00.001000+00:00,0.0001
2025-05-22 08:00:00+00:00,0.0001
2025-05-22 16:00:00.002000+00:00,0.0001
2025-05-23 00:00:00.006000+00:00,0.0001
2025-05-23 08:00:00+00:00,0.0001
2025-05-23 16:00:00.007000+00:00,0.0001
2025-05-24 00:00:00.010000+00:00,2.443e-05
2025-05-24 08:00:00+00:00,-3.759e-05
2025-05-24 16:00:00.003000+00:00,-7.924e-05
2025-05-25 00:00:00.004000+00:00,-4.97e-05
2025-05-25 08:00:00+00:00,5.31e-06
2025-05-25 16:00:00+00:00,1.562e-05
2025-05-26 00:00:00+00:00,1.811e-05
2025-05-26 08:00:00+00:00,1.67e-06
2025-05-26 16:00:00.002000+00:00,0.0001
2025-05-27 00:00:00.003000+00:00,4.49e-05
2025-05-27 08:00:00.001000+00:00,9.283e-05
2025-05-27 16:00:00.005000+00:00,0.0001
2025-05-28 00:00:00.002000+00:00,0.0001
2025-05-28 08:00:00.003000+00:00,-0.00014042
2025-05-28 16:00:00.002000+00:00,0.0001
2025-05-29 00:00:00+00:00,7.253e-05
2025-05-29 08:00:00.006000+00:00,8.574e-05
2025-05-29 16:00:00+00:00,3.768e-05
2025-05-30 00:00:00.003000+00:00,-0.00017634
2025-05-30 08:00:00.003000+00:00,-0.00012609
2025-05-30 16:00:00+00:00,2.207e-05
2025-05-31 00:00:00+00:00,-1.1e-06
2025-05-31 08:00:00+00:00,-6.246e-05
2025-05-31 16:00:00+00:00,-5.957e-05
2025-06-01 00:00:00.001000+00:00,0.0001
2025-06-01 08:00:00.002000+00:00,-3.324e-05
2025-06-01 16:00:00+00:00,-0.00010894
2025-06-02 00:00:00.001000+00:00,0.0001
2025-06-02 08:00:00+00:00,0.0001
2025-06-02 16:00:00+00:00,7.4e-07
2025-06-03 00:00:00+00:00,0.0001
2025-06-03 08:00:00+00:00,0.0001
2025-06-03 16:00:00.001000+00:00,-2.08e-05
2025-06-04 00:00:00+00:00,-2.841e-05
2025-06-04 08:00:00+00:00,0.0001
2025-06-04 16:00:00+00:00,-7.38e-06
2025-06-05 00:00:00.016000+00:00,-0.0001022
2025-06-05 08:00:00+00:00,7.032e-05
2025-06-05 16:00:00+00:00,0.0001
2025-06-06 00:00:00.002000+00:00,-0.00020547
2025-06-06 08:00:00+00:00,-0.00022509
2025-06-06 16:00:00.006000+00:00,0.0001
2025-06-07 00:00:00+00:00,0.0001
2025-06-07 08:00:00+00:00,-4.94e-06
2025-06-07 16:00:00.002000+00:00,0.0001
2025-06-08 00:00:00+00:00,0.0001
2025-06-08 08:00:00+00:00,8.9e-05
2025-06-08 16:00:00+00:00,3.562e-05
2025-06-09 00:00:00+00:00,0.0001
2025-06-09 08:00:00.001000+00:00,-2.474e-05
2025-06-09 16:00:00.001000+00:00,0.0001
2025-06-10 00:00:00+00:00,0.0001
2025-06-10 08:00:00.001000+00:00,0.0001
2025-06-10 16:00:00.003000+00:00,5.223e-05
2025-06-11 00:00:00+00:00,0.0001
2025-06-11 08:00:00+00:00,0.0001
2025-06-11 16:00:00.010000+00:00,0.0001
2025-06-12 00:00:00.002000+00:00,0.0001
2025-06-12 08:00:00.003000+00:00,8.251e-05
2025-06-12 16:00:00.001000+00:00,-5.392e-05
2025-06-13 00:00:00+00:00,-5.741e-05
2025-06-13 08:00:00.001000+00:00,-0.0002986
2025-06-13 16:00:00.004000+00:00,-1.096e-05
2025-06-14 00:00:00+00:00,9.362e-05
2025-06-14 08:00:00+00:00,-3.72e-06
2025-06-14 16:00:00+00:00,1.78e-05
2025-06-15 00:00:00.005000+00:00,-9.117e-05
2025-06-15 08:00:00.009000+00:00,-2.795e-05
2025-06-15 16:00:00+00:00,3.582e-05
2025-06-16 00:00:00+00:00,1.583e-05
2025-06-16 08:00:00+00:00,6.22e-05
2025-06-16 16:00:00.003000+00:00,0.0001
2025-06-17 00:00:00+00:00,0.0001
2025-06-17 08:00:00.006000+00:00,0.0001
2025-06-17 16:00:00.001000+00:00,-8.314e-05
2025-06-18 00:00:00.001000+00:00,0.0001
2025-06-18 08:00:00.001000+00:00,6.698e-05
2025-06-18 16:00:00.001000+00:00,6.216e-05
2025-06-19 00:00:00.005000+00:00,0.0001
2025-06-19 08:00:00.003000+00:00,0.0001
2025-06-19 16:00:00+00:00,7.548e-05
2025-06-20 00:00:00+00:00,0.0001
2025-06-20 08:00:00.002000+00:00,7.37e-05
2025-06-20 16:00:00.001000+00:00,1.696e-05
2025-06-21 00:00:00.002000+00:00,5.95e-05
2025-06-21 08:00:00.005000+00:00,0.0001
2025-06-21 16:00:00+00:00,0.0001
2025-06-22 00:00:00.005000+00:00,4.896e-05
2025-06-22 08:00:00+00:00,7.729e-05
2025-06-22 16:00:00.003000+00:00,9.088e-05
