timestamp,open,high,low,close,volume
2025-04-13T12:11:00.000000Z,587.64,587.64,587.37,587.64,173.81
2025-04-13T12:12:00.000000Z,587.63,587.75,587.63,587.75,169.0
2025-04-13T12:13:00.000000Z,587.74,587.81,587.66,587.73,168.62
2025-04-13T12:14:00.000000Z,587.74,588.06,587.74,587.9,401.57
2025-04-13T12:15:00.000000Z,587.89,587.9,587.55,587.71,277.58
2025-04-13T12:16:00.000000Z,587.71,587.81,587.5,587.74,221.08
2025-04-13T12:17:00.000000Z,587.74,587.95,587.62,587.95,139.08
2025-04-13T12:18:00.000000Z,587.95,588.42,587.95,588.4,440.44
2025-04-13T12:19:00.000000Z,588.41,588.41,588.15,588.16,194.72
2025-04-13T12:20:00.000000Z,588.16,588.16,587.26,587.26,595.91
2025-04-13T12:21:00.000000Z,587.27,587.55,587.14,587.14,341.08
2025-04-13T12:22:00.000000Z,587.14,587.41,586.91,587.4,678.41
2025-04-13T12:23:00.000000Z,587.4,587.44,587.03,587.06,193.17
2025-04-13T12:24:00.000000Z,587.06,587.16,586.88,586.99,570.43
2025-04-13T12:25:00.000000Z,587.0,587.2,586.88,587.04,303.43
2025-04-13T12:26:00.000000Z,587.03,587.03,586.7,586.85,402.19
2025-04-13T12:27:00.000000Z,586.86,587.22,586.86,587.18,268.67
2025-04-13T12:28:00.000000Z,587.17,587.18,586.82,586.88,107.2
2025-04-13T12:29:00.000000Z,586.88,587.02,586.74,586.89,663.11
2025-04-13T12:30:00.000000Z,586.88,586.97,586.87,586.96,141.37
2025-04-13T12:31:00.000000Z,586.96,587.28,586.7,587.28,253.86
2025-04-13T12:32:00.000000Z,587.27,587.36,587.02,587.02,450.26
2025-04-13T12:33:00.000000Z,587.03,587.03,586.82,586.96,185.02
2025-04-13T12:34:00.000000Z,586.95,587.05,586.94,587.0,152.67
2025-04-13T12:35:00.000000Z,586.99,587.22,586.88,587.22,215.16
2025-04-13T12:36:00.000000Z,587.22,587.29,587.12,587.29,168.13
2025-04-13T12:37:00.000000Z,587.29,587.3,587.11,587.17,236.87
2025-04-13T12:38:00.000000Z,587.19,587.26,587.08,587.26,76.75
2025-04-13T12:39:00.000000Z,587.26,587.31,587.12,587.13,223.51
2025-04-13T12:40:00.000000Z,587.13,587.28,587.13,587.24,192.41
2025-04-13T12:41:00.000000Z,587.23,587.24,587.0,587.24,279.98
2025-04-13T12:42:00.000000Z,587.23,587.33,587.18,587.23,146.52
2025-04-13T12:43:00.000000Z,587.22,587.22,587.04,587.17,189.64
2025-04-13T12:44:00.000000Z,587.17,587.17,586.85,586.85,197.79
2025-04-13T12:45:00.000000Z,586.85,587.06,586.81,587.06,251.02
2025-04-13T12:46:00.000000Z,587.05,587.42,587.05,587.38,171.54
2025-04-13T12:47:00.000000Z,587.37,587.38,587.14,587.18,66.02
2025-04-13T12:48:00.000000Z,587.17,587.18,586.84,586.9,246.57
2025-04-13T12:49:00.000000Z,586.9,587.07,586.82,586.97,227.65
2025-04-13T12:50:00.000000Z,586.97,587.08,586.77,587.08,103.46
2025-04-13T12:51:00.000000Z,587.08,587.08,586.94,586.94,63.02
2025-04-13T12:52:00.000000Z,586.95,587.39,586.94,587.31,201.17
2025-04-13T12:53:00.000000Z,587.31,587.55,587.28,587.51,188.92
2025-04-13T12:54:00.000000Z,587.5,587.54,587.43,587.43,234.54
2025-04-13T12:55:00.000000Z,587.42,587.43,587.22,587.22,94.04
2025-04-13T12:56:00.000000Z,587.23,587.26,587.0,587.01,100.42
2025-04-13T12:57:00.000000Z,587.0,587.06,586.88,586.9,151.22
2025-04-13T12:58:00.000000Z,586.91,586.91,586.84,586.88,82.83
2025-04-13T12:59:00.000000Z,586.88,587.14,586.78,587.13,158.76
2025-04-13T13:00:00.000000Z,587.13,587.47,587.11,587.39,292.87
2025-04-13T13:01:00.000000Z,587.4,587.5,587.35,587.5,430.15
2025-04-13T13:02:00.000000Z,587.5,587.65,587.41,587.6,426.61
2025-04-13T13:03:00.000000Z,587.61,587.81,587.47,587.48,360.77
2025-04-13T13:04:00.000000Z,587.48,587.48,586.89,586.89,420.38
2025-04-13T13:05:00.000000Z,586.9,586.9,586.45,586.8,1028.66
2025-04-13T13:06:00.000000Z,586.8,586.8,586.55,586.7,496.14
2025-04-13T13:07:00.000000Z,586.69,586.89,586.59,586.73,201.38
2025-04-13T13:08:00.000000Z,586.73,586.86,586.7,586.83,525.51
2025-04-13T13:09:00.000000Z,586.83,586.86,586.63,586.63,163.45
2025-04-13T13:10:00.000000Z,586.64,587.08,586.63,587.08,312.53
2025-04-13T13:11:00.000000Z,587.08,587.24,587.08,587.2,164.45
2025-04-13T13:12:00.000000Z,587.19,587.46,587.19,587.45,142.81
2025-04-13T13:13:00.000000Z,587.45,587.66,587.28,587.32,485.46
2025-04-13T13:14:00.000000Z,587.32,587.4,587.26,587.4,143.45
2025-04-13T13:15:00.000000Z,587.39,588.94,587.14,588.25,4620.8
2025-04-13T13:16:00.000000Z,588.25,588.26,587.78,587.78,506.92
2025-04-13T13:17:00.000000Z,587.78,587.92,587.58,587.59,216.03
2025-04-13T13:18:00.000000Z,587.58,587.65,587.52,587.64,235.82
2025-04-13T13:19:00.000000Z,587.65,587.65,587.41,587.48,261.57
2025-04-13T13:20:00.000000Z,587.49,587.52,587.32,587.35,103.17
2025-04-13T13:21:00.000000Z,587.35,587.36,586.91,587.06,684.04
2025-04-13T13:22:00.000000Z,587.02,587.31,586.96,587.03,702.2
2025-04-13T13:23:00.000000Z,587.02,587.29,586.98,587.29,169.29
2025-04-13T13:24:00.000000Z,587.29,587.29,586.81,586.81,344.16
2025-04-13T13:25:00.000000Z,586.81,587.06,586.79,586.99,251.18
2025-04-13T13:26:00.000000Z,586.99,587.0,586.6,586.74,642.17
2025-04-13T13:27:00.000000Z,586.74,586.82,586.38,586.43,580.59
2025-04-13T13:28:00.000000Z,586.43,586.58,586.26,586.4,710.02
2025-04-13T13:29:00.000000Z,586.43,586.64,586.37,586.56,216.53
2025-04-13T13:30:00.000000Z,586.55,586.82,586.55,586.55,304.18
2025-04-13T13:31:00.000000Z,586.56,586.96,586.55,586.82,276.71
2025-04-13T13:32:00.000000Z,586.82,587.43,586.72,587.43,372.15
2025-04-13T13:33:00.000000Z,587.42,587.43,587.29,587.32,133.36
2025-04-13T13:34:00.000000Z,587.33,587.5,587.16,587.5,171.83
