timestamp,open,high,low,close,volume
2025-07-12T22:45:00.000000Z,2.7332,2.7334,2.7303,2.732,530783.6
2025-07-12T22:46:00.000000Z,2.732,2.7324,2.7304,2.7323,512465.4
2025-07-12T22:47:00.000000Z,2.7323,2.7327,2.7308,2.7316,144102.5
2025-07-12T22:48:00.000000Z,2.7316,2.7319,2.7287,2.7292,230412.4
2025-07-12T22:49:00.000000Z,2.7292,2.7292,2.7247,2.7285,512703.3
2025-07-12T22:50:00.000000Z,2.7286,2.7298,2.728,2.7291,290634.4
2025-07-12T22:51:00.000000Z,2.729,2.7291,2.7271,2.7278,267071.4
2025-07-12T22:52:00.000000Z,2.7279,2.7289,2.7272,2.728,201986.3
2025-07-12T22:53:00.000000Z,2.728,2.7304,2.7276,2.7304,136339.9
2025-07-12T22:54:00.000000Z,2.7305,2.7325,2.7304,2.7311,316685.6
2025-07-12T22:55:00.000000Z,2.7311,2.7334,2.7307,2.7325,258209.9
2025-07-12T22:56:00.000000Z,2.7325,2.734,2.7325,2.7329,161149.0
2025-07-12T22:57:00.000000Z,2.733,2.7361,2.7319,2.7361,311001.9
2025-07-12T22:58:00.000000Z,2.7361,2.738,2.7355,2.7378,721936.0
2025-07-12T22:59:00.000000Z,2.7378,2.7384,2.7369,2.7382,233942.6
2025-07-12T23:00:00.000000Z,2.7381,2.7445,2.7375,2.7442,1069620.3
2025-07-12T23:01:00.000000Z,2.7442,2.7443,2.7401,2.7416,644760.7
2025-07-12T23:02:00.000000Z,2.7415,2.7427,2.7382,2.7388,570013.2
2025-07-12T23:03:00.000000Z,2.7388,2.7395,2.7379,2.738,425238.7
2025-07-12T23:04:00.000000Z,2.738,2.738,2.7267,2.7289,1715425.6
2025-07-12T23:05:00.000000Z,2.729,2.732,2.729,2.7311,689656.2
2025-07-12T23:06:00.000000Z,2.7312,2.7352,2.7311,2.7343,423441.1
2025-07-12T23:07:00.000000Z,2.7343,2.7343,2.7291,2.7299,579928.2
2025-07-12T23:08:00.000000Z,2.7299,2.7306,2.7264,2.7268,464639.7
2025-07-12T23:09:00.000000Z,2.7268,2.7268,2.724,2.7255,453441.7
2025-07-12T23:10:00.000000Z,2.7254,2.727,2.7251,2.7252,330510.6
2025-07-12T23:11:00.000000Z,2.7252,2.7257,2.724,2.7256,212337.4
2025-07-12T23:12:00.000000Z,2.7257,2.7258,2.7236,2.7246,166146.2
2025-07-12T23:13:00.000000Z,2.7245,2.7256,2.7231,2.7251,203824.0
2025-07-12T23:14:00.000000Z,2.7252,2.7253,2.7216,2.7252,388862.9
2025-07-12T23:15:00.000000Z,2.7253,2.7293,2.7252,2.7283,878502.3
2025-07-12T23:16:00.000000Z,2.7282,2.7324,2.7281,2.7319,338735.2
2025-07-12T23:17:00.000000Z,2.7319,2.7397,2.7314,2.7369,1219929.1
2025-07-12T23:18:00.000000Z,2.7369,2.7409,2.736,2.7398,1512309.4
2025-07-12T23:19:00.000000Z,2.7397,2.74,2.7376,2.7397,408349.5
2025-07-12T23:20:00.000000Z,2.7397,2.7406,2.7386,2.7397,443386.6
2025-07-12T23:21:00.000000Z,2.7397,2.7407,2.7388,2.7395,342457.7
2025-07-12T23:22:00.000000Z,2.7396,2.7409,2.739,2.7403,267171.5
2025-07-12T23:23:00.000000Z,2.7403,2.7404,2.7374,2.7387,306828.3
2025-07-12T23:24:00.000000Z,2.7388,2.7401,2.7381,2.7381,187388.3
2025-07-12T23:25:00.000000Z,2.7381,2.7384,2.7331,2.734,618211.4
2025-07-12T23:26:00.000000Z,2.7341,2.7368,2.734,2.7352,301355.9
2025-07-12T23:27:00.000000Z,2.7351,2.7364,2.7347,2.7354,160950.3
2025-07-12T23:28:00.000000Z,2.7354,2.7355,2.7329,2.735,225225.1
2025-07-12T23:29:00.000000Z,2.7351,2.7354,2.7342,2.7342,130579.0
2025-07-12T23:30:00.000000Z,2.7342,2.7364,2.7333,2.7349,223101.9
2025-07-12T23:31:00.000000Z,2.735,2.7367,2.7323,2.7349,586719.1
2025-07-12T23:32:00.000000Z,2.7349,2.7379,2.7341,2.7376,274375.0
2025-07-12T23:33:00.000000Z,2.7375,2.7397,2.737,2.7386,163956.6
2025-07-12T23:34:00.000000Z,2.7385,2.739,2.7357,2.7383,585300.0
2025-07-12T23:35:00.000000Z,2.7382,2.7391,2.7368,2.7382,312595.9
2025-07-12T23:36:00.000000Z,2.7383,2.7388,2.734,2.7341,387717.3
2025-07-12T23:37:00.000000Z,2.734,2.736,2.734,2.7354,191228.8
2025-07-12T23:38:00.000000Z,2.7354,2.7355,2.728,2.7287,508957.3
2025-07-12T23:39:00.000000Z,2.7287,2.729,2.7266,2.7286,455894.2
2025-07-12T23:40:00.000000Z,2.7286,2.7309,2.7286,2.7302,720007.8
2025-07-12T23:41:00.000000Z,2.7302,2.7309,2.7259,2.7272,428843.9
2025-07-12T23:42:00.000000Z,2.7271,2.729,2.7269,2.7278,328565.5
2025-07-12T23:43:00.000000Z,2.7278,2.7278,2.7259,2.7265,353527.6
2025-07-12T23:44:00.000000Z,2.7264,2.7305,2.7253,2.7302,444276.5
2025-07-12T23:45:00.000000Z,2.7302,2.7302,2.7279,2.7281,302205.8
2025-07-12T23:46:00.000000Z,2.728,2.737,2.728,2.7367,403418.0
2025-07-12T23:47:00.000000Z,2.7367,2.7367,2.7326,2.7343,341488.7
2025-07-12T23:48:00.000000Z,2.7343,2.735,2.7325,2.734,431680.7
2025-07-12T23:49:00.000000Z,2.7339,2.7475,2.7335,2.7446,2870263.9
2025-07-12T23:50:00.000000Z,2.7446,2.7486,2.7438,2.7466,1193075.0
2025-07-12T23:51:00.000000Z,2.7465,2.7465,2.7433,2.7436,558512.2
2025-07-12T23:52:00.000000Z,2.7435,2.7435,2.7406,2.7413,748725.3
2025-07-12T23:53:00.000000Z,2.7412,2.7419,2.7391,2.7417,299430.9
2025-07-12T23:54:00.000000Z,2.7417,2.7418,2.7347,2.7403,1599096.4
2025-07-12T23:55:00.000000Z,2.7403,2.7419,2.7396,2.7397,268899.4
2025-07-12T23:56:00.000000Z,2.7398,2.7399,2.7382,2.7384,184821.5
2025-07-12T23:57:00.000000Z,2.7385,2.7385,2.7344,2.7344,391877.1
2025-07-12T23:58:00.000000Z,2.7344,2.7367,2.7342,2.736,318353.9
2025-07-12T23:59:00.000000Z,2.7361,2.7395,2.7349,2.7395,584073.5
