timestamp,rate
2025-04-13 16:00:00+00:00,-7.234e-05
2025-04-14 00:00:00+00:00,2.492e-05
2025-04-14 08:00:00+00:00,4.33e-06
2025-04-14 16:00:00+00:00,0.0001
2025-04-15 00:00:00+00:00,4.677e-05
2025-04-15 08:00:00+00:00,-3.392e-05
2025-04-15 16:00:00.001000+00:00,1.742e-05
2025-04-16 00:00:00+00:00,2.521e-05
2025-04-16 08:00:00+00:00,-3.461e-05
2025-04-16 16:00:00+00:00,-1.3e-05
2025-04-17 00:00:00.001000+00:00,-7.755e-05
2025-04-17 08:00:00+00:00,-7.089e-05
2025-04-17 16:00:00.001000+00:00,-8.534e-05
2025-04-18 00:00:00+00:00,1.048e-05
2025-04-18 08:00:00+00:00,-3.837e-05
2025-04-18 16:00:00+00:00,-9.281e-05
2025-04-19 00:00:00+00:00,-8.685e-05
2025-04-19 08:00:00+00:00,3.748e-05
2025-04-19 16:00:00+00:00,0.0001
2025-04-20 00:00:00+00:00,2.32e-06
2025-04-20 08:00:00+00:00,6.308e-05
2025-04-20 16:00:00+00:00,0.0001
2025-04-21 00:00:00+00:00,3.878e-05
2025-04-21 08:00:00.005000+00:00,5.27e-06
2025-04-21 16:00:00.003000+00:00,6.913e-05
2025-04-22 00:00:00.008000+00:00,2.822e-05
2025-04-22 08:00:00+00:00,-1.617e-05
2025-04-22 16:00:00+00:00,7.696e-05
2025-04-23 00:00:00+00:00,6.322e-05
2025-04-23 08:00:00.002000+00:00,9.26e-06
2025-04-23 16:00:00+00:00,2.524e-05
2025-04-24 00:00:00+00:00,5.976e-05
2025-04-24 08:00:00.001000+00:00,1.347e-05
2025-04-24 16:00:00.001000+00:00,9.03e-05
2025-04-25 00:00:00.007000+00:00,9.308e-05
2025-04-25 08:00:00.002000+00:00,-1.111e-05
2025-04-25 16:00:00.003000+00:00,6.418e-05
2025-04-26 00:00:00.002000+00:00,0.0001
2025-04-26 08:00:00+00:00,-4.42e-06
2025-04-26 16:00:00.002000+00:00,2.578e-05
2025-04-27 00:00:00.001000+00:00,3.69e-05
2025-04-27 08:00:00+00:00,8.504e-05
2025-04-27 16:00:00+00:00,0.0001
2025-04-28 00:00:00.001000+00:00,2.095e-05
2025-04-28 08:00:00.003000+00:00,5.423e-05
2025-04-28 16:00:00.005000+00:00,3.605e-05
2025-04-29 00:00:00+00:00,1.39e-05
2025-04-29 08:00:00+00:00,2.991e-05
2025-04-29 16:00:00.010000+00:00,-5.098e-05
2025-04-30 00:00:00.001000+00:00,-7.348e-05
2025-04-30 08:00:00+00:00,-4.533e-05
2025-04-30 16:00:00.003000+00:00,-1.51e-05
2025-05-01 00:00:00+00:00,-6.849e-05
2025-05-01 08:00:00+00:00,-5.302e-05
2025-05-01 16:00:00.001000+00:00,-1.034e-05
2025-05-02 00:00:00+00:00,5.795e-05
2025-05-02 08:00:00+00:00,2.258e-05
2025-05-02 16:00:00.003000+00:00,4.669e-05
2025-05-03 00:00:00+00:00,4.945e-05
2025-05-03 08:00:00+00:00,1.437e-05
2025-05-03 16:00:00+00:00,6.74e-06
2025-05-04 00:00:00.001000+00:00,1.472e-05
2025-05-04 08:00:00.001000+00:00,-7.37e-05
2025-05-04 16:00:00.002000+00:00,-7.161e-05
2025-05-05 00:00:00+00:00,-0.00012339
2025-05-05 08:00:00+00:00,-2.69e-05
2025-05-05 16:00:00.006000+00:00,-4.126e-05
2025-05-06 00:00:00.002000+00:00,-0.00014953
2025-05-06 08:00:00.005000+00:00,-6.772e-05
2025-05-06 16:00:00+00:00,-1.03e-06
2025-05-07 00:00:00.002000+00:00,-1.717e-05
2025-05-07 08:00:00+00:00,-0.00010219
2025-05-07 16:00:00.006000+00:00,1.892e-05
2025-05-08 00:00:00+00:00,8.993e-05
2025-05-08 08:00:00.001000+00:00,6.758e-05
2025-05-08 16:00:00.002000+00:00,3.113e-05
2025-05-09 00:00:00.001000+00:00,6.962e-05
2025-05-09 08:00:00.006000+00:00,0.0001
2025-05-09 16:00:00+00:00,8.709e-05
2025-05-10 00:00:00.001000+00:00,1.298e-05
2025-05-10 08:00:00+00:00,2.166e-05
2025-05-10 16:00:00.001000+00:00,-2.482e-05
2025-05-11 00:00:00+00:00,6.89e-05
2025-05-11 08:00:00.001000+00:00,4.426e-05
2025-05-11 16:00:00.001000+00:00,1.736e-05
2025-05-12 00:00:00.004000+00:00,1.872e-05
2025-05-12 08:00:00+00:00,-1.06e-06
2025-05-12 16:00:00+00:00,1.689e-05
2025-05-13 00:00:00+00:00,1.55e-05
2025-05-13 08:00:00.008000+00:00,6.79e-06
2025-05-13 16:00:00.001000+00:00,8.739e-05
2025-05-14 00:00:00.007000+00:00,0.0001
2025-05-14 08:00:00+00:00,0.0001
2025-05-14 16:00:00.002000+00:00,6.27e-05
2025-05-15 00:00:00+00:00,6.828e-05
2025-05-15 08:00:00.003000+00:00,3.448e-05
2025-05-15 16:00:00+00:00,6.709e-05
2025-05-16 00:00:00.001000+00:00,3.592e-05
2025-05-16 08:00:00+00:00,8.287e-05
2025-05-16 16:00:00+00:00,4.207e-05
2025-05-17 00:00:00+00:00,0.0001
2025-05-17 08:00:00.001000+00:00,1.813e-05
2025-05-17 16:00:00.004000+00:00,5.443e-05
