,Portfolio
Symbol,Portfolio
Total Return (%),-0.5
CAGR (%),-83.99
Expected Return (%),-0.002
Volatility (%),0.51
Sharpe Ratio,-1.248
Sortino Ratio,-1.592
Calmar Ratio,-138.107
Max Drawdown (%),0.61
Ulcer Index,0.0025
Recovery Factor,0.82
VaR (95%) (%),-0.05
CVaR (95%) (%),-0.07
Win Rate (%),51.61
Profit Factor,0.824
Gain to Pain Ratio,-0.965
Tail Ratio,0.768
Kelly Criterion,-0.111
Best Day (%),0.1
Worst Day (%),-0.14
Skewness,-0.858
Kurtosis,6.497
Final Equity,9950.31
