,timestamp,symbol,type,side,contracts,price,notional,leverage,margin,fee,pnl,rate,payment
0,2025-07-01T00:00:00+00:00,ETHUSDT,open,sell,4.026332212670868,2483.65,10000.0,10.0,1000.0,4.0,,,
1,2025-07-01T00:01:00+00:00,BTCUSDT,open,sell,0.09338158048324968,107087.5,10000.0,10.0,1000.0,4.0,,,
2,2025-07-01T00:01:00+00:00,XRPUSDT,open,buy,2679.6480728864276,2.2391,6000.0,10.0,600.0,2.4,,,
3,2025-07-01T00:05:00+00:00,BNBUSDT,open,sell,9.127418765972983,657.36,6000.0,10.0,600.0,2.4,,,
4,2025-07-01T00:08:00+00:00,SOLUSDT,open,buy,38.78474466709761,154.7,6000.0,10.0,600.0,2.4,,,
5,2025-07-01T05:25:00+00:00,SOLUSDT,close,sell,38.78474466709761,151.47,5874.725274725275,10.0,600.0,2.34989010989011,-125.27472527472489,,
6,2025-07-01T05:29:00+00:00,SOLUSDT,open,buy,39.593506664906954,151.54,5999.999999999999,10.0,599.9999999999999,2.4,,,
7,2025-07-01T09:20:00+00:00,SOLUSDT,close,sell,39.593506664906954,148.43,5876.86419427214,10.0,599.9999999999999,2.350745677708856,-123.13580572786005,,
8,2025-07-01T09:20:00+00:00,SOLUSDT,open,sell,40.42309506164522,148.43,6000.0,10.0,600.0,2.4,,,
9,2025-07-01T13:11:00+00:00,XRPUSDT,close,sell,2679.6480728864276,2.1872,5860.926265017194,10.0,600.0,2.344370506006878,-139.07373498280634,,
10,2025-07-01T13:15:00+00:00,XRPUSDT,open,buy,2743.358785606511,2.1871,6000.0,10.0,600.0,2.4,,,
11,2025-07-01T16:00:00+00:00,BTCUSDT,funding,,,,9890.332671880473,,,,,1.109e-05,-0.10968378933115445
12,2025-07-01T16:00:00+00:00,ETHUSDT,funding,,,,9753.74952187305,,,,,-1.429e-05,0.13938108066756588
13,2025-07-01T16:00:00+00:00,XRPUSDT,funding,,,,6000.548671757121,,,,,1.379e-05,0.0827475661835307
14,2025-07-01T16:00:00+00:00,BNBUSDT,funding,,,,5892.752829499818,,,,,0.0,-0.0
15,2025-07-01T16:00:00+00:00,SOLUSDT,funding,,,,5949.066900222327,,,,,-7.235e-05,0.4304149902310853
16,2025-07-02T01:17:00+00:00,ETHUSDT,close,buy,4.026332212670868,2381.08,9587.019104946348,10.0,1000.0,3.8348076419785393,412.9808950536515,,
17,2025-07-02T01:20:00+00:00,ETHUSDT,open,buy,4.185851820845542,2389.0,10000.0,10.0,1000.0,4.0,,,
18,2025-07-02T08:00:00+00:00,BTCUSDT,funding,,,,10013.94186996615,,,,,3.403e-05,-0.34077444183494804
19,2025-07-02T08:00:00+00:00,ETHUSDT,funding,,,,10252.03013813311,,,,,4.864e-05,0.4986587459187945
20,2025-07-02T08:00:00+00:00,XRPUSDT,funding,,,,6016.460152713639,,,,,-2.455e-05,-0.14770409674911986
21,2025-07-02T08:00:00+00:00,BNBUSDT,funding,,,,6005.385177071925,,,,,0.0,-0.0
22,2025-07-02T08:00:00+00:00,SOLUSDT,funding,,,,6031.9342450987,,,,,-4.281e-05,0.2582271050326753
23,2025-07-02T15:11:00+00:00,ETHUSDT,close,sell,4.185851820845542,2496.36,10449.393051485979,10.0,1000.0,4.179757220594392,449.39305148597794,,
24,2025-07-02T15:14:00+00:00,ETHUSDT,open,sell,4.01500004015,2490.66,10000.0,10.0,1000.0,4.0,,,
25,2025-07-02T16:04:00+00:00,SOLUSDT,close,buy,40.42309506164522,151.6,6128.141211345415,10.0,600.0,2.4512564845381664,-128.14121134541483,,
26,2025-07-02T16:08:00+00:00,BTCUSDT,close,buy,0.09338158048324968,109417.2,10217.551068051827,10.0,1000.0,4.0870204272207316,-217.55106805182652,,
27,2025-07-02T16:11:00+00:00,SOLUSDT,open,sell,39.364912741110096,152.42,6000.0,10.0,600.0,2.4,,,
28,2025-07-02T16:12:00+00:00,BTCUSDT,open,sell,0.09142129951720412,109383.7,10000.0,10.0,1000.0,4.0,,,
29,2025-07-02T16:16:00+00:00,ETHUSDT,close,buy,4.01500004015,2547.11,10226.646752266468,10.0,1000.0,4.090658700906587,-226.6467522664686,,
30,2025-07-02T16:19:00+00:00,ETHUSDT,open,sell,3.9314512165875786,2543.59,10000.0,10.0,1000.0,4.0,,,
31,2025-07-02T16:41:00+00:00,XRPUSDT,close,sell,2743.358785606511,2.2773,6247.450962461708,10.0,600.0,2.4989803849846832,247.45096246170684,,
32,2025-07-02T16:44:00+00:00,XRPUSDT,open,sell,2640.1478482795033,2.2726,6000.0,10.0,600.0,2.4,,,
33,2025-07-02T19:56:00+00:00,ETHUSDT,close,buy,3.9314512165875786,2595.78,10205.182438993705,10.0,1000.0,4.082072975597482,-205.18243899370594,,
34,2025-07-02T20:01:00+00:00,ETHUSDT,open,sell,3.8514570061854396,2596.42,10000.0,10.0,1000.0,4.0,,,
35,2025-07-03T05:32:00+00:00,SOLUSDT,close,buy,39.364912741110096,155.58,6124.393124261909,10.0,600.0,2.449757249704764,-124.3931242619089,,
36,2025-07-03T05:36:00+00:00,SOLUSDT,open,sell,38.60507013254408,155.42,6000.0,10.0,600.0,2.4,,,
37,2025-07-04T08:15:00+00:00,SOLUSDT,close,buy,38.60507013254408,149.15,5757.9462102689495,10.0,600.0,2.3031784841075797,242.05378973105067,,
38,2025-07-04T08:17:00+00:00,SOLUSDT,open,buy,40.12572727880693,149.53,6000.0,10.0,600.0,2.4,,,
39,2025-07-04T15:32:00+00:00,SOLUSDT,close,sell,40.12572727880693,146.54,5880.024075436367,10.0,600.0,2.352009630174547,-119.97592456363307,,
