,Portfolio
Symbol,Portfolio
Total Return (%),28.4
CAGR (%),1000
Volatility (%),42.94
Sharpe Ratio,0.587
Sortino Ratio,10.048
Calmar Ratio,21.107
Max Drawdown (%),47.38
VaR (95%) (%),-30.1
CVaR (95%) (%),-34.65
Win Rate (%),50.0
Win/Loss Ratio,2.173
Payoff Ratio,2.173
Kelly Criterion,0.27
Best Day (%),99.01
Worst Day (%),-34.65
Skewness,1.777
Kurtosis,4.023
Alpha (%),64.97
Beta,-3.127
R-Squared,0.005
