,Portfolio
Symbol,Portfolio
Total Return (%),0.24
CAGR (%),141.6
Expected Return (%),0.001
Volatility (%),0.64
Sharpe Ratio,0.478
Sortino Ratio,0.717
Calmar Ratio,381.883
Max Drawdown (%),0.37
Ulcer Index,0.0015
Recovery Factor,0.65
VaR (95%) (%),-0.05
CVaR (95%) (%),-0.08
Win Rate (%),48.95
Profit Factor,1.073
Gain to Pain Ratio,0.963
Tail Ratio,1.108
Kelly Criterion,0.033
Best Day (%),0.14
Worst Day (%),-0.11
Skewness,0.371
Kurtosis,2.67
Final Equity,10024.01
