,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT
Start,2025-06-12 13:12:00+00:00,2025-06-12 13:12:00+00:00,2025-06-12 13:12:00+00:00,2025-06-12 13:12:00+00:00,2025-06-12 13:12:00+00:00
End,2025-07-12 13:11:00+00:00,2025-07-12 13:11:00+00:00,2025-07-12 13:11:00+00:00,2025-07-12 13:11:00+00:00,2025-07-12 13:11:00+00:00
Period,30 days 00:00:00,30 days 00:00:00,30 days 00:00:00,30 days 00:00:00,30 days 00:00:00
Start Value,10000.0,10000.0,10000.0,10000.0,10000.0
End Value,9742.753037348231,9672.696265784332,9731.156353790966,9929.613252121831,9790.363594833927
Total Return [%],-2.5724696265176816,-3.2730373421566825,-2.6884364620903454,-0.7038674787816933,-2.0963640516607325
Benchmark Return [%],9.717011544730259,7.071590788961046,24.314532361222717,3.7233801711530568,0.5230982542393958
Max Gross Exposure [%],10.472574771846844,10.759684289248131,6.419538337051234,6.236342714790949,6.375374984832625
Total Fees Paid,96.30015723750071,304.39470847077314,197.21770166539932,43.29422927407599,211.235060930364
Max Drawdown [%],2.735487632604415,4.218168018343695,3.2689605986075025,0.8253567146076293,2.5515825421751432
Max Drawdown Duration,29 days 19:24:00,29 days 15:42:00,29 days 19:24:00,18 days 16:56:00,29 days 22:34:00
Total Trades,12,38,41,9,43
Total Closed Trades,12,38,41,9,43
Total Open Trades,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0
Win Rate [%],8.333333333333332,34.21052631578947,26.82926829268293,22.22222222222222,34.883720930232556
Best Trade [%],3.1964880764893095,4.156529141188129,5.3733968556455345,3.2419191040384647,3.622368068577555
Worst Trade [%],-3.054916430204321,-4.058915379801871,-17.834755194781454,-3.2180751395854927,-17.328621735685264
Avg Winning Trade [%],3.1964880764893095,3.37155773763011,3.4358587486990824,3.2164027983769508,3.108861386487921
Avg Losing Trade [%],-2.629198576515104,-3.0624249604303317,-4.216773297111144,-2.5948471775879205,-3.5133365618917836
Avg Winning Trade Duration,0 days 17:44:00,0 days 22:39:00,1 days 06:51:38.181818181,1 days 01:17:30,0 days 23:11:08
Avg Losing Trade Duration,2 days 15:44:21.818181818,0 days 16:55:16.800000,0 days 17:07:05.999999999,3 days 23:33:08.571428571,0 days 13:38:36.428571428
Profit Factor,0.11052410712946478,0.5724907699685471,0.45411418114158264,0.3541527362555296,0.5724447950291107
Expectancy,-21.43724688764737,-8.613256163570224,-6.557162102659396,-7.820749764241029,-4.875265236420334
Sharpe Ratio,-9.374041480882802,-5.993553659452332,-8.354648772121012,-5.132491251439674,-5.997682362818036
Calmar Ratio,-9.933418860054214,-7.893110408605766,-8.632846825815006,-9.977592287565741,-8.905309433701772
Omega Ratio,0.9593124434287089,0.9728550828637064,0.9644139899686975,0.9779928280477851,0.9751975633427025
Sortino Ratio,-12.64281854587909,-7.814491973878191,-11.34871194103274,-6.999589421094044,-8.180679741158977
