,Portfolio
Symbol,Portfolio
Total Return (%),0.27
CAGR (%),170.37
Expected Return (%),0.001
Volatility (%),0.63
Sharpe Ratio,0.55
Sortino Ratio,0.832
Calmar Ratio,500.399
Max Drawdown (%),0.34
Ulcer Index,0.0015
Recovery Factor,0.8
VaR (95%) (%),-0.05
CVaR (95%) (%),-0.08
Win Rate (%),48.76
Profit Factor,1.085
Gain to Pain Ratio,1.335
Tail Ratio,1.09
Kelly Criterion,0.038
Best Day (%),0.14
Worst Day (%),-0.11
Skewness,0.425
Kurtosis,2.915
Final Equity,10027.08
