,Symbol,Total Return (%),CAGR (%),Expected Return (%),Volatility (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Ulcer Index,Sortino Ratio,Calmar Ratio,Recovery Factor,VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Profit Factor,Gain to Pain Ratio,Tail Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,-0.14,-8.18,-0.02,0.05,9985.99,-7.221,0.14,0.0006,-7.221,-58.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-2.646,7.0
ETHUSDT,ETHUSDT,-0.62,-31.43,-0.088,0.23,9938.22,-7.221,0.62,0.0025,-7.221,-50.867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,-2.646,7.0
XRPUSDT,XRPUSDT,3.36,649.17,0.474,1.27,10336.34,7.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,1.0,0.0,0.0,0.0,3.36,0.0,2.646,7.0
BNBUSDT,BNBUSDT,-2.03,-71.29,-0.292,0.77,9797.09,-7.221,2.03,0.0083,-7.221,-35.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.03,-2.646,7.0
SOLUSDT,SOLUSDT,-0.07,-4.39,-0.011,0.03,9992.62,-7.221,0.07,0.0003,-7.221,-59.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-2.646,7.0
