,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,10.96,571.74,5.39,0.791,28.411,100,2.38,-1.67,-2.38,50.0,5.735,5.735,0.413,13.68,-2.38,2.485,6.441
ETHUSDT,ETHUSDT,-11.18,-100,11.16,-0.271,-2.362,-3.335,29.98,-14.84,-16.25,33.33,1.52,1.52,-0.105,15.99,-16.25,0.27,-0.522
XRPUSDT,XRPUSDT,-2.56,-100,5.11,-0.132,-1.042,-10.337,9.67,-7.78,-9.67,66.67,0.432,0.432,-0.105,6.56,-9.67,-0.91,1.57
BNBUSDT,BNBUSDT,-0.07,-3.74,2.17,0.012,0.151,-0.836,4.48,-1.64,-1.75,25.0,3.044,3.044,0.004,4.61,-1.75,1.976,4.42
SOLUSDT,SOLUSDT,2.84,148.23,3.85,0.318,4.349,29.332,5.05,-3.38,-4.18,40.0,2.286,2.286,0.138,8.32,-4.18,1.539,3.715
