metric,value
pnl,-903.4691528857838
cum_return_pct,-9.034691528857842
sharpe,-2.129070939279931
volatility,0.47150480737193773
max_drawdown,0.1703185309324573
avg_drawdown,0.06154065272247355
turnover,0.16490440753485128
turnover_sum,15.501014308276021
winrate,0.10498687664041995
avg_win,0.009998706091295963
avg_loss,0.009154871626219625
fees,58.432731562248506
ras_sharpe,-0.0009167736832021684
ras_sharpe_lower,-0.2825739073558411
risk_diag_avg,{'cov_turnover_fro': 0.0014969178146849744, 'last_mahalanobis_d2': 3.2845146591987513, 'vol_mse_avg': 6.709581619364052e-07, 'malv_mean': -2.5331960893512067, 'vol_qlike_avg': -7.288283165378272, 'symbols': 5.0}
cov_loss_avg,{'cov_port_mse': 1.891773741631154e-08, 'cov_port_qlike': -6.607322321405653}
benchmark_sharpe,2.319476067089157
ras_ic_lower,nan
benchmark_pnl,903.9330263386892
benchmark_cum_return_pct,9.039330263386901
benchmark_volatility,0.49072055757299293
benchmark_max_drawdown,0.09871560494967711
benchmark_avg_drawdown,0.03305075768398224
benchmark_avg_win,0.011272995899864252
benchmark_avg_loss,0.010859988717172812
