,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,14.81,772.49,5.17,1.074,33.359,100,2.65,-1.85,-2.65,66.67,3.28,3.28,0.565,12.8,-2.65,1.844,3.53
ETHUSDT,ETHUSDT,-11.64,-100,11.32,-0.281,-2.443,-3.283,30.46,-15.04,-16.42,33.33,1.505,1.505,-0.11,16.42,-16.42,0.295,-0.455
XRPUSDT,XRPUSDT,-3.27,-100,5.14,-0.184,-1.429,-9.92,10.08,-7.98,-9.93,66.67,0.406,0.406,-0.153,6.36,-9.93,-0.98,1.665
BNBUSDT,BNBUSDT,2.15,112.24,2.33,0.372,5.076,34.83,3.22,-1.68,-1.76,40.0,2.236,2.236,0.132,4.39,-1.76,1.073,-0.028
SOLUSDT,SOLUSDT,2.45,127.68,3.87,0.279,3.721,23.63,5.4,-3.47,-4.3,40.0,2.163,2.163,0.123,8.3,-4.3,1.519,3.687
