,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,14.96,779.83,5.09,1.1,36.525,100,2.43,-1.7,-2.43,66.67,3.544,3.544,0.573,12.63,-2.43,1.853,3.491
ETHUSDT,ETHUSDT,-0.44,-22.94,9.9,0.098,0.87,-0.991,23.16,-13.12,-14.33,60.0,0.736,0.736,0.056,13.4,-14.33,-0.376,-0.892
XRPUSDT,XRPUSDT,1.85,96.46,4.71,0.202,1.635,10.413,9.26,-6.48,-9.26,83.33,0.254,0.254,0.178,6.22,-9.26,-1.515,3.861
BNBUSDT,BNBUSDT,-0.16,-8.53,2.14,-0.005,-0.067,-1.905,4.48,-1.64,-1.75,25.0,2.981,2.981,-0.002,4.52,-1.75,1.956,4.345
SOLUSDT,SOLUSDT,3.11,162.0,3.94,0.337,4.722,32.056,5.05,-3.38,-4.18,40.0,2.353,2.353,0.145,8.59,-4.18,1.591,3.836
