,Portfolio
Symbol,Portfolio
Total Return (%),-80.05
CAGR (%),-98.9
Volatility (%),20.47
Sharpe Ratio,0.031
Sortino Ratio,0.046
Calmar Ratio,-1.195
Max Drawdown (%),82.73
VaR (95%) (%),-2.12
CVaR (95%) (%),-14.25
Win Rate (%),65.15
Win/Loss Ratio,0.568
Payoff Ratio,0.568
Kelly Criterion,0.037
Best Month (%),43.44
Worst Month (%),-62.27
Skewness,2.562
Kurtosis,550.263
