,Portfolio
Symbol,Portfolio
Total Return (%),-0.53
CAGR (%),-85.65
Expected Return (%),-0.002
Volatility (%),0.99
Sharpe Ratio,-0.67
Sortino Ratio,-0.906
Calmar Ratio,-101.399
Max Drawdown (%),0.84
Ulcer Index,0.0045
Recovery Factor,0.62
VaR (95%) (%),-0.09
CVaR (95%) (%),-0.12
Win Rate (%),49.83
Profit Factor,0.912
Gain to Pain Ratio,-1.0
Tail Ratio,0.924
Kelly Criterion,-0.048
Best Day (%),0.16
Worst Day (%),-0.21
Skewness,-0.184
Kurtosis,1.091
Final Equity,9947.35
