,Portfolio
Symbol,Portfolio
Total Return (%),-0.08
CAGR (%),-4.39
Volatility (%),37.52
Sharpe Ratio,0.314
Sortino Ratio,5.303
Calmar Ratio,-0.088
Max Drawdown (%),50.05
VaR (95%) (%),-24.94
CVaR (95%) (%),-27.06
Win Rate (%),42.86
Win/Loss Ratio,2.003
Payoff Ratio,2.003
Kelly Criterion,0.143
Best Day (%),85.5
Worst Day (%),-27.06
Skewness,2.134
Kurtosis,5.087
Alpha (%),31.22
Beta,0.068
R-Squared,0.0
