,timestamp,symbol,type,side,contracts,price,notional,leverage,margin,fee,pnl
0,2025-06-12T13:12:00+00:00,BNBUSDT,open,buy,9.055646950510889,662.57,6000.0,10,600.0,2.4,
1,2025-06-12T13:13:00+00:00,BTCUSDT,open,buy,0.09342755813996943,107034.8,10000.0,10,1000.0,4.0,
2,2025-06-12T13:13:00+00:00,ETHUSDT,open,sell,3.646733620695943,2742.18,10000.0,10,1000.0,4.0,
3,2025-06-12T13:14:00+00:00,XRPUSDT,open,buy,2682.763246143528,2.2365,6000.0,10,600.0,2.4,
4,2025-06-12T13:15:00+00:00,SOLUSDT,open,buy,37.81433163168841,158.67,6000.0,10,600.0,2.4,
5,2025-06-12T19:47:00+00:00,SOLUSDT,close,sell,37.81433163168841,155.39,5875.968992248062,10,600.0,2.3503875968992247,-124.03100775193803
6,2025-06-12T19:54:00+00:00,SOLUSDT,open,buy,38.80732164801759,154.61,6000.0,10,600.0,2.4,
7,2025-06-12T20:41:00+00:00,XRPUSDT,close,sell,2682.763246143528,2.189,5872.568745808183,10,600.0,2.3490274983232733,-127.43125419181723
8,2025-06-12T20:43:00+00:00,XRPUSDT,open,buy,2740.3516784654034,2.1895,6000.0,10,600.0,2.4,
9,2025-06-12T20:50:00+00:00,ETHUSDT,close,buy,3.646733620695943,2632.47,9599.916854473448,10,1000.0,3.8399667417893792,400.083145526552
10,2025-06-12T20:52:00+00:00,ETHUSDT,open,buy,3.791325447376403,2637.6,10000.0,10,1000.0,4.0,
11,2025-06-13T00:02:00+00:00,BTCUSDT,close,sell,0.09342755813996943,104693.3,9781.239372615262,10,1000.0,3.912495749046105,-218.76062738473843
12,2025-06-13T00:02:00+00:00,SOLUSDT,close,sell,38.80732164801759,150.92,5856.800983118815,10,600.0,2.342720393247526,-143.19901688118594
13,2025-06-13T00:05:00+00:00,BTCUSDT,open,buy,0.0954495386923795,104767.4,10000.0,10,1000.0,4.0,
14,2025-06-13T00:06:00+00:00,SOLUSDT,open,buy,39.9493974299221,150.19,6000.0,10,600.0,2.4,
15,2025-06-13T00:10:00+00:00,BNBUSDT,close,sell,9.055646950510889,647.41,5862.716392230254,10,600.0,2.345086556892102,-137.28360776974583
16,2025-06-13T00:10:00+00:00,ETHUSDT,close,sell,3.791325447376403,2576.43,9768.084622383985,10,1000.0,3.9072338489535943,-231.91537761601487
17,2025-06-13T00:12:00+00:00,XRPUSDT,close,sell,2740.3516784654034,2.1435,5873.943822790592,10,600.0,2.349577529116237,-126.05617720940806
18,2025-06-13T00:14:00+00:00,ETHUSDT,open,buy,3.8962809997857044,2566.55,10000.0,10,1000.0,4.0,
19,2025-06-13T00:15:00+00:00,XRPUSDT,open,buy,2792.1262041044256,2.1489,6000.0,10,600.0,2.4,
20,2025-06-13T00:15:00+00:00,BNBUSDT,open,buy,9.3000186000372,645.16,6000.0,10,600.0,2.4,
21,2025-06-13T00:23:00+00:00,SOLUSDT,close,sell,39.9493974299221,146.78,5863.772554763966,10,600.0,2.3455090219055865,-136.2274452360342
22,2025-06-13T00:30:00+00:00,SOLUSDT,open,buy,41.093075816724884,146.01,6000.0,10,600.0,2.4,
23,2025-06-13T00:34:00+00:00,XRPUSDT,close,sell,2792.1262041044256,2.1097,5890.548652799107,10,600.0,2.3562194611196428,-109.45134720089258
24,2025-06-13T00:35:00+00:00,ETHUSDT,close,sell,3.8962809997857044,2514.78,9798.289532641094,10,1000.0,3.919315813056438,-201.71046735890585
25,2025-06-13T00:36:00+00:00,SOLUSDT,close,sell,41.093075816724884,142.72,5864.803780562976,10,600.0,2.3459215122251904,-135.19621943702455
26,2025-06-13T00:38:00+00:00,ETHUSDT,open,buy,3.968269715356014,2519.99,10000.0,10,1000.0,4.0,
