,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Day (%),Worst Day (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,-0.18,-9.18,1.34,-0.034,-0.307,-3.848,2.38,-1.67,-2.38,50.0,0.949,0.949,-0.027,2.26,-2.38,-0.136,3.009
ETHUSDT,ETHUSDT,-12.78,-100,10.64,-0.358,-2.978,-3.335,29.98,-14.84,-16.25,33.33,1.395,1.395,-0.145,13.91,-16.25,0.115,-0.758
XRPUSDT,XRPUSDT,-8.43,-100,4.18,-0.742,-4.802,-10.337,9.67,-7.78,-9.67,66.67,0.186,0.186,-1.128,2.67,-9.67,-1.739,3.068
BNBUSDT,BNBUSDT,-6.09,-100,0.84,-2.794,-11.936,-16.416,6.09,-1.73,-1.75,0.0,1.0,1.0,0.0,0.0,-1.75,0.279,-2.664
SOLUSDT,SOLUSDT,-3.35,-100,1.95,-0.636,-4.411,-19.789,5.05,-3.38,-4.18,40.0,0.703,0.703,-0.453,1.79,-4.18,-1.144,1.762
