,Portfolio
Symbol,Portfolio
Total Return (%),0.3
CAGR (%),202.77
Expected Return (%),0.001
Volatility (%),0.63
Sharpe Ratio,0.61
Sortino Ratio,0.924
Calmar Ratio,595.566
Max Drawdown (%),0.34
Ulcer Index,0.0015
Recovery Factor,0.89
VaR (95%) (%),-0.05
CVaR (95%) (%),-0.08
Win Rate (%),49.12
Profit Factor,1.094
Gain to Pain Ratio,1.751
Tail Ratio,1.09
Kelly Criterion,0.042
Best Day (%),0.14
Worst Day (%),-0.11
Skewness,0.412
Kurtosis,2.837
Final Equity,10030.17
