,Portfolio
Symbol,Portfolio
Total Return (%),97.83
CAGR (%),0.0
Volatility (%),0.0
Sharpe Ratio,0.0
Sortino Ratio,0.0
Max Drawdown (%),0.0
Final Equity,19782.68
