,Portfolio
Symbol,Portfolio
Total Return (%),33.08
CAGR (%),16314792.02
Volatility (%),478.95
Sharpe Ratio,3.878
Sortino Ratio,9.987
Calmar Ratio,421577.895
Max Drawdown (%),38.7
VaR (95%) (%),-42.26
CVaR (95%) (%),-42.26
Win Rate (%),66.67
Win/Loss Ratio,1.097
Payoff Ratio,1.097
Kelly Criterion,0.363
Best Month (%),68.0
Worst Month (%),-25.2
Skewness,1.458
Kurtosis,3.082
