,Symbol,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),VaR (95%) (%),CVaR (95%) (%),Win Rate (%),Win/Loss Ratio,Payoff Ratio,Kelly Criterion,Best Month (%),Worst Month (%),Skewness,Kurtosis
BTCUSDT,BTCUSDT,3.35,33.2,51.51,0.774,1.677,2.125,15.62,-5.18,-6.38,37.5,2.142,2.142,0.083,14.56,-6.38,2.953,14.102
ETHUSDT,ETHUSDT,11.28,153.15,93.95,1.405,2.34,7.864,19.48,-9.21,-10.34,47.37,1.427,1.427,0.105,12.84,-10.34,0.348,-0.153
XRPUSDT,XRPUSDT,-13.61,-71.96,57.47,-1.851,-2.344,-3.53,20.38,-6.38,-10.84,47.62,0.784,0.784,-0.192,7.02,-10.84,-0.448,1.508
BNBUSDT,BNBUSDT,3.39,33.65,19.02,1.566,3.39,8.424,3.99,-1.85,-1.85,40.0,2.254,2.254,0.134,4.24,-1.4,1.844,4.663
SOLUSDT,SOLUSDT,15.75,256.53,44.55,2.973,7.014,49.564,5.18,-4.09,-4.09,52.38,1.689,1.689,0.242,9.86,-3.8,1.765,4.425
