,Portfolio
Symbol,Portfolio
Total Return (%),-98.74
CAGR (%),-100
Volatility (%),75.46
Sharpe Ratio,0.113
Sortino Ratio,1.14
Calmar Ratio,-1.003
Max Drawdown (%),99.7
VaR (95%) (%),-88.19
CVaR (95%) (%),-99.0
Win Rate (%),50.0
Win/Loss Ratio,1.125
Payoff Ratio,1.125
Kelly Criterion,0.056
Best Day (%),125.6
Worst Day (%),-99.0
Skewness,0.381
Kurtosis,-0.112
Alpha (%),25.83
Beta,4.383
R-Squared,0.003
