,Portfolio
Symbol,Portfolio
Total Return (%),-99.73
CAGR (%),-100.0
Volatility (%),277.14
Sharpe Ratio,-2.833
Sortino Ratio,-3.117
Calmar Ratio,-1.003
Max Drawdown (%),99.73
VaR (95%) (%),-22.95
CVaR (95%) (%),-56.71
Win Rate (%),45.76
Win/Loss Ratio,0.604
Payoff Ratio,0.604
Kelly Criterion,-0.441
Best Day (%),40.25
Worst Day (%),-99.0
Skewness,-2.849
Kurtosis,15.854
Alpha (%),-184.39
Beta,-0.057
R-Squared,0.0
